id,ranked_id,username,champion_id,champion_level,champion_points,champion_points_since_last_level,champion_points_until_next_level,chest_granted,last_play_time,created_at,updated_at
44210,37,GEM Vrilyarethez#GEM,200,0,0,0,0,false,2025-10-11 19:16:10.521+00,2025-10-11 19:15:17.905724+00,2025-10-11 19:15:17.905724+00
44211,37,GEM Vrilyarethez#GEM,201,0,0,0,0,false,2025-10-11 19:16:17.211+00,2025-10-11 19:15:24.848055+00,2025-10-11 19:15:24.848055+00
44212,37,GEM Vrilyarethez#GEM,51,0,0,0,0,false,2025-10-11 19:16:23.194+00,2025-10-11 19:15:30.540336+00,2025-10-11 19:15:30.540336+00
44213,37,GEM Vrilyarethez#GEM,69,0,0,0,0,false,2025-10-11 19:16:39.708+00,2025-10-11 19:15:47.079519+00,2025-10-11 19:15:47.079519+00
44214,37,GEM Vrilyarethez#GEM,42,0,0,0,0,false,2025-10-11 19:16:51.033+00,2025-10-11 19:15:58.87287+00,2025-10-11 19:15:58.87287+00
44215,37,GEM Vrilyarethez#GEM,119,0,0,0,0,false,2025-10-11 19:16:58.057+00,2025-10-11 19:16:05.437179+00,2025-10-11 19:16:05.437179+00
44216,37,GEM Vrilyarethez#GEM,28,0,0,0,0,false,2025-10-11 19:17:05.739+00,2025-10-11 19:16:13.361729+00,2025-10-11 19:16:13.361729+00
44217,37,GEM Vrilyarethez#GEM,9,0,0,0,0,false,2025-10-11 19:17:13.38+00,2025-10-11 19:16:20.73662+00,2025-10-11 19:16:20.73662+00
44218,37,GEM Vrilyarethez#GEM,3,0,0,0,0,false,2025-10-11 19:17:35.028+00,2025-10-11 19:16:37.520896+00,2025-10-11 19:16:42.422549+00
44220,37,GEM Vrilyarethez#GEM,79,0,0,0,0,false,2025-10-11 19:18:03.673+00,2025-10-11 19:17:10.99508+00,2025-10-11 19:17:10.99508+00
44221,37,GEM Vrilyarethez#GEM,887,0,0,0,0,false,2025-10-11 19:18:11.002+00,2025-10-11 19:17:18.370571+00,2025-10-11 19:17:18.370571+00
44222,37,GEM Vrilyarethez#GEM,74,0,0,0,0,false,2025-10-11 19:18:21.147+00,2025-10-11 19:17:28.485573+00,2025-10-11 19:17:28.485573+00
44223,37,GEM Vrilyarethez#GEM,420,0,0,0,0,false,2025-10-11 19:18:33.108+00,2025-10-11 19:17:40.457689+00,2025-10-11 19:17:40.457689+00
44224,37,GEM Vrilyarethez#GEM,429,0,0,0,0,false,2025-10-11 19:18:41.141+00,2025-10-11 19:17:48.496883+00,2025-10-11 19:17:48.496883+00
44225,37,GEM Vrilyarethez#GEM,10,0,0,0,0,false,2025-10-11 19:18:49.911+00,2025-10-11 19:17:57.384999+00,2025-10-11 19:17:57.384999+00
44226,37,GEM Vrilyarethez#GEM,141,0,0,0,0,false,2025-10-11 19:18:58.75+00,2025-10-11 19:18:06.310211+00,2025-10-11 19:18:06.310211+00
44227,37,GEM Vrilyarethez#GEM,127,0,0,0,0,false,2025-10-11 19:19:02.932+00,2025-10-11 19:18:10.226869+00,2025-10-11 19:18:10.226869+00
44228,37,GEM Vrilyarethez#GEM,90,0,0,0,0,false,2025-10-11 19:19:10.841+00,2025-10-11 19:18:18.187458+00,2025-10-11 19:18:18.187458+00
44229,37,GEM Vrilyarethez#GEM,25,0,0,0,0,false,2025-10-11 19:19:14.658+00,2025-10-11 19:18:22.026973+00,2025-10-11 19:18:22.026973+00
44230,37,GEM Vrilyarethez#GEM,950,0,0,0,0,false,2025-10-11 19:19:21.949+00,2025-10-11 19:18:29.25057+00,2025-10-11 19:18:29.25057+00
44231,37,GEM Vrilyarethez#GEM,267,0,0,0,0,false,2025-10-11 19:19:25.894+00,2025-10-11 19:18:33.205429+00,2025-10-11 19:18:33.205429+00
